date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,edge_score,ag_score,agreement,role_flag,last7_vals,confidence,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,home_ml,away_ml,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books,target,actual,result,profit_units
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Jalen Duren,C1,3.5,2.13,-1.37,39.1,UNDER,UNDER,8.8,0.8,MED,NORMAL,1|3|3|7|5|3|4,80,0.762,0.15,140,133,133,118,-144,0.493,0.507,0.964,0.4685,1.96,1.96,2.82,2.35,5,ast,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Tre Johnson,C1,2.5,1.88,-0.62,24.8,UNDER,UNDER,6.2,0.8,HIGH,NORMAL,2|2|1|2|0|2|4,78,0.327,0.38,158,-208,-208,-2400,1100,0.365,0.635,0.971,0.4553,1.96,1.96,1.57,1.38,1,ast,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Dylan Harper,C1,3.5,4.42,0.92,26.3,OVER,OVER,7,0.6,MED,NORMAL,3|6|6|2|3|5|5,70,0.671,0.31,115,120,115,118,-138,0.506,0.494,0.915,0.4205,4.44,4.44,4.34,2.5,6,ast,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Daniss Jenkins,C1,6.5,4.39,-2.11,32.5,UNDER,UNDER,11.3,0.8,LOW,NORMAL,8|10|9|4|6|5|8,65,1.364,0.29,120,116,116,118,-144,0.495,0.505,0.939,0.4432,4.04,4.04,5.78,3.25,6,ast,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Davion Mitchell,C1,6.5,5.25,-1.25,19.2,UNDER,UNDER,9.9,0.8,LOW,NORMAL,9|3|3|4|8|5|7,59,1.137,0.2,185,-132,-132,-2400,1100,0.381,0.619,0.864,0.3422,5.32,5.32,4.96,2.62,6,ast,NA,NA,NA
2026-04-04,Los Angeles Lakers (-260) @ Dallas Mavericks (+212),Austin Reaves,C1,7.5,5.34,-2.16,28.8,UNDER,UNDER,11.5,0.8,MED,NORMAL,5|5|8|5|9|4|1,58,0.898,0.48,114,-152,-152,212.5,-260,0.437,0.563,0.992,0.4899,5.28,5.28,5.57,3.16,1,ast,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Nikola Jokic,C1,10.5,8.6,-1.9,18.1,UNDER,UNDER,9.8,0.4,LOW,NORMAL,9|14|17|19|12|8|12,57,3.687,0.29,170,110,110,118,-138,0.438,0.562,0.697,0.2108,3.68,10.8,12.24,5.82,6,ast,NA,NA,NA
2026-04-04,Washington Wizards (+1100) @ Miami Heat (-2400),Tyler Herro,C1,4.5,3.94,-0.56,12.4,UNDER,UNDER,6.8,0.8,MED,NORMAL,4|2|4|5|4|3|7,54,0.76,0.59,110,-120,-120,-2400,1100,0.466,0.534,0.769,0.2459,4,4,3.68,2.26,6,ast,NA,NA,NA
2026-04-04,Detroit Pistons (-144) @ Philadelphia 76ers (+118),Quentin Grimes,C1,3.5,3.01,-0.49,14,UNDER,UNDER,6.2,0.8,MED,NORMAL,7|4|5|3|4|1|1,53,0.55,0.38,136,-170,-170,118,-144,0.402,0.598,0.814,0.2489,2.96,2.96,3.22,2.04,4,ast,NA,NA,NA
2026-04-04,San Antonio Spurs (-138) @ Denver Nuggets (+118),Jamal Murray,C1,6.5,5.54,-0.96,14.8,UNDER,UNDER,8.4,0.6,LOW,NORMAL,6|7|6|4|14|7|5,52,1.81,0.29,145,100,100,118,-138,0.449,0.551,0.702,0.202,3.57,6.44,6.95,3.54,6,ast,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Jaylen Brown,C1,4.5,5.76,1.26,28,OVER,OVER,8.2,0.6,LOW,NORMAL,5|6|4|8|9|7|4,43,1.132,0.31,-136,102,-136,-407.5,320,0.538,0.462,0.867,0.3431,5.68,5.68,6.07,3.26,1,ast,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Derrick White,C1,4.5,5.3,0.8,17.8,OVER,OVER,6.6,0.4,LOW,NORMAL,3|1|6|5|4|4|5,35,1.039,0.33,-110,-118,-110,-407.5,320,0.492,0.508,0.779,0.268,5.52,5.52,4.42,2.25,1,ast,NA,NA,NA
2026-04-04,Toronto Raptors (+320) @ Boston Celtics (-408),Brandon Ingram,C1,3.5,3.09,-0.41,11.7,UNDER,UNDER,6,0.8,MED,NORMAL,4|2|1|4|2|0|5,31,0.623,0.82,104,-138,-138,-407.5,320,0.458,0.542,0.745,0.1966,3.28,3.28,2.33,1.4,1,ast,NA,NA,NA
2026-04-04,Charlotte Hornets (+2) @ Minnesota Timberwolves (-120),LaMelo Ball,C1,7.5,6.47,-1.03,13.7,UNDER,UNDER,9.3,0.8,LOW,NORMAL,8|6|8|3|9|11|9,29,1.758,0.55,114,-152,-152,-120.5,1.5,0.437,0.563,0.721,0.1485,6.44,6.44,6.61,3.41,1,ast,NA,NA,NA
